A,0.09652449374805748
B,0.01447390441580797
C,0.03486599564874363
D,0.023264398594209482
E,0.14648648002486434
F,0.012635857221412007
G,0.016290673488416573
H,0.012595691778038109
I,0.09459750878619073
J,0.0017003371028283167
K,0.0011726874985057499
L,0.040341406268678125
M,0.025208597317522174
N,0.07264063882181367
O,0.060640017213761443
P,0.023516628015396755
Q,0.005373562531379252
R,0.08452674110024626
S,0.10148516508475387
T,0.06859899108231525
U,0.03649939034594879
V,0.009043918999689196
W,0.00034977406938102183
X,0.002643985942094819
Y,0.004205417553255074
Z,0.010317737346689938
